headline,url,publisher,date,stock,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,https://www.benzinga.com/government/20/06/16223418/tech-stocks-and-faangs-strong-again-to-start-day-as-market-awaits-fed,JJ Kinahan,2020-06-10,AAPL,2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,88.20999908447266,166651600,0.0,0.0
10 Biggest Price Target Changes For Wednesday,https://www.benzinga.com/analyst-ratings/price-target/20/06/16220539/10-biggest-price-target-changes-for-wednesday,Lisa Levin,2020-06-10,AAPL,2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,88.20999908447266,166651600,0.0,0.0
"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW",https://www.benzinga.com/short-sellers/20/06/16220099/benzinga-pros-top-5-stocks-to-watch-for-wed-jun-10-2020-aapl-bac-nio-sono-glw,Benzinga Newsdesk,2020-06-10,AAPL,2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,88.20999908447266,166651600,0.0,0.0
"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $350",https://www.benzinga.com/news/20/06/16219873/deutsche-bank-maintains-buy-on-apple-raises-price-target-to-350,Benzinga Newsdesk,2020-06-10,AAPL,2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,88.20999908447266,166651600,0.0,0.0
"Apple To Let Users Trade In Their Mac Computers For Credit At US, Canada Stores: Report",https://www.benzinga.com/news/20/06/16218697/apple-to-let-users-turn-in-their-mac-computers-for-credit-at-us-canada-stores-starting-this-month-re,Neer Varshney,2020-06-10,AAPL,2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,88.20999908447266,166651600,0.0,0.0
Big Tech Reaches New Record Heights At The Stock Market,https://www.benzinga.com/news/20/06/16218615/big-tech-reaches-new-record-heights-at-the-stock-market,Neer Varshney,2020-06-10,AAPL,2020-06-10,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,88.20999908447266,166651600,0.0,0.0
Why Apple's Stock Is Trading Higher Today,https://www.benzinga.com/news/20/06/16215446/why-apples-stock-is-trading-higher-today,Tanzeel Akhtar,2020-06-09,AAPL,2020-06-09,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,85.99749755859375,147712400,0.0,0.0
Apple Could Announce In-House Chips For Macs At WWDC: Report,https://www.benzinga.com/news/20/06/16214115/apple-could-announce-in-house-chips-for-macs-at-wwdc-report,Shanthi Rexaline,2020-06-09,AAPL,2020-06-09,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,85.99749755859375,147712400,0.0,0.0
"Apple shares are trading higher despite market weakness, not currently seeing company-specific news. It was reported the company is expected to begin iPhone 12 production in July.",https://www.benzinga.com/wiim/20/06/16214320/apple-shares-are-trading-higher-despite-market-weakness-not-currently-seeing-company-specific-news-i,Benzinga Newsdesk,2020-06-09,AAPL,2020-06-09,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,85.99749755859375,147712400,0.0,0.0
"Sonos Shares Spike To Session High, Now Up 9.5%, As Citron's Andrew Left, Currently Interviewing On FOX Business, Said Co. Could Be Acquired By Apple Or Amazon",https://www.benzinga.com/m-a/20/06/16213381/sonos-shares-spike-to-session-high-now-up-9-5-as-citrons-andrew-left-currently-interviewing-on-fox-b,Benzinga Newsdesk,2020-06-09,AAPL,2020-06-09,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,85.99749755859375,147712400,0.0,0.0
'Apple is tracking iPhones stolen by looters' -Earlier NY Post Article,https://www.benzinga.com/news/20/06/16161103/apple-is-tracking-iphones-stolen-by-looters-earlier-ny-post-article,Benzinga Newsdesk,2020-06-02,AAPL,2020-06-02,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,80.83499908447266,87642800,0.0,0.0
MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition,https://www.benzinga.com/m-a/20/06/16156730/moneygram-shares-jump-50-as-western-union-reportedly-looks-for-acquisition,Neer Varshney,2020-06-02,AAPL,2020-06-02,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,80.83499908447266,87642800,0.0,0.0
"Hearing Susquehanna Check Suggests Total iPhone 12 Builds Tracking To 10M, Below Firm's Expectation Of 25M; Unconfirmed",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16158083/hearing-susquehanna-check-suggests-total-iphone-12-builds-tracking-to-10m-below-fir,Benzinga Newsdesk,2020-06-02,AAPL,2020-06-02,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,80.83499908447266,87642800,0.0,0.0
Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case,https://www.benzinga.com/news/20/06/16156648/tesla-ceo-musk-says-other-three-officers-should-be-charged-in-floyds-murder-case,Neer Varshney,2020-06-02,AAPL,2020-06-02,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,80.83499908447266,87642800,0.0,0.0
A Peek Into The Markets: US Stock Futures Up; Crude Oil Rises Over 2%,https://www.benzinga.com/news/earnings/20/06/16157378/a-peek-into-the-markets-us-stock-futures-up-crude-oil-rises-over-2,Lisa Levin,2020-06-02,AAPL,2020-06-02,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,80.83499908447266,87642800,0.0,0.0
"Pepper Spray, Books On Racism, 'I Can't Breathe' Merchandise Are Top Sellers On Amazon As Protests Rage",https://www.benzinga.com/news/20/06/16156515/pepper-spray-books-on-racism-i-cant-breathe-merchandise-are-top-sellers-on-amazon-as-protests-rage,Neer Varshney,2020-06-02,AAPL,2020-06-02,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,80.83499908447266,87642800,0.0,0.0
Apple Cuts iPhone Prices in China To Push Sales As Country Reopens Economy,https://www.benzinga.com/news/20/06/16156462/apple-cuts-iphone-prices-in-china-to-push-sales-as-country-reopens-economy,Shivdeep Dhaliwal,2020-06-01,AAPL,2020-06-01,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,80.4625015258789,80791200,0.0,0.0
"Gun, Security Stocks Trade Higher After Weekend Protests Turn Violent And Destructive",https://www.benzinga.com/news/20/06/16150247/gun-security-stocks-trade-higher-after-weekend-protests-turn-violent-and-destructive,Wayne Duggan,2020-06-01,AAPL,2020-06-01,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,80.4625015258789,80791200,0.0,0.0
Carter Worth And Mike Khouw's Apple Trade,https://www.benzinga.com/markets/options/20/06/16148745/carter-worth-and-mike-khouws-apple-trade,Craig Jones,2020-06-01,AAPL,2020-06-01,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,80.4625015258789,80791200,0.0,0.0
"Apple Pays Hacker From India $100,000 For Discovering Serious 'Sign In With Apple' Vulnerability",https://www.benzinga.com/news/20/06/16146494/apple-pays-hacker-from-india-100-000-for-discovering-serious-sign-in-with-apple-vulnerability,Shivdeep Dhaliwal,2020-06-01,AAPL,2020-06-01,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,80.4625015258789,80791200,0.0,0.0
Volume Production of New iPhone Models to Begin in Q3 2020,https://www.benzinga.com/news/20/06/16147117/volume-production-of-new-iphone-models-to-begin-in-q3-2020,Charles Gross,2020-06-01,AAPL,2020-06-01,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,80.4625015258789,80791200,0.0,0.0
"Apple CEO Writes To Employees About George Floyd Death, Urges For 'Better, More Just World For Everyone'",https://www.benzinga.com/news/20/06/16146417/apple-ceo-writes-to-employees-about-george-floyd-death-urges-for-better-more-just-world-for-everyone,Shivdeep Dhaliwal,2020-06-01,AAPL,2020-06-01,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,80.4625015258789,80791200,0.0,0.0
"Costco Shares Come Under Pressure Despite Strong Earnings, Same-Store Sales",https://www.benzinga.com/government/20/05/16138428/costco-shares-come-under-pressure-despite-strong-earnings-same-store-sales,JJ Kinahan,2020-05-29,AAPL,2020-05-29,79.8125,80.2874984741211,79.11750030517578,79.48500061035156,79.48500061035156,153532400,0.0,0.0
Trump's Executive Order To Expose Social Media To Lawsuits Over Content Policies,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16128213/trumps-executive-order-to-expose-social-media-to-lawsuits-over-content-policies,Elizabeth Balboa,2020-05-28,AAPL,2020-05-28,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,79.5625,133560800,0.0,0.0
Costco Earnings On Tap After Close As Investors Mull Strong Toll Brothers Results,https://www.benzinga.com/news/20/05/16127758/costco-earnings-on-tap-after-close-as-investors-mull-strong-toll-brothers-results,JJ Kinahan,2020-05-28,AAPL,2020-05-28,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,79.5625,133560800,0.0,0.0
Martin Scorsese's Next Movie Will Be Financed By Apple: Report,https://www.benzinga.com/news/20/05/16124204/martin-scorseses-next-movie-will-be-financed-by-apple-report,Shivdeep Dhaliwal,2020-05-28,AAPL,2020-05-28,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,79.5625,133560800,0.0,0.0
"Tech Companies Aren't 'State Actors,' Judge Dismisses Conservative Bias Lawsuit Against Facebook, Twitter, Google, Apple",https://www.benzinga.com/news/20/05/16124533/tech-companies-arent-state-actors-judge-dismisses-conservative-bias-lawsuit-against-facebook-twitter,Neer Varshney,2020-05-28,AAPL,2020-05-28,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,79.5625,133560800,0.0,0.0
