headline,url,publisher,date,stock,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
"How Cannabis Company Cannaphyll Is Marketing On Mass-Consumer Platforms, Google And Amazon",https://www.benzinga.com/markets/cannabis/20/06/16224494/how-cannabis-company-cannaphyll-is-marketing-on-mass-consumer-platforms-google-and-amazon,Jaycee Tenn,2020-06-10,AMZN,2020-06-10,132.25,136.11749267578125,131.31300354003906,132.37249755859375,132.37249755859375,98920000,0.0,0.0
Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed,https://www.benzinga.com/government/20/06/16223418/tech-stocks-and-faangs-strong-again-to-start-day-as-market-awaits-fed,JJ Kinahan,2020-06-10,AMZN,2020-06-10,132.25,136.11749267578125,131.31300354003906,132.37249755859375,132.37249755859375,98920000,0.0,0.0
"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW",https://www.benzinga.com/short-sellers/20/06/16220099/benzinga-pros-top-5-stocks-to-watch-for-wed-jun-10-2020-aapl-bac-nio-sono-glw,Benzinga Newsdesk,2020-06-10,AMZN,2020-06-10,132.25,136.11749267578125,131.31300354003906,132.37249755859375,132.37249755859375,98920000,0.0,0.0
"Hearing Vertical Group Out Positive On Amazon, Saying Co.'s Ad Spend Revenues Are Increasing As Shipping Bottleneck Issues Begin To Abate",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16219876/hearing-vertical-group-out-positive-on-amazon-saying-co-s-ad-spend-revenues-are-inc,Benzinga Newsdesk,2020-06-10,AMZN,2020-06-10,132.25,136.11749267578125,131.31300354003906,132.37249755859375,132.37249755859375,98920000,0.0,0.0
Big Tech Reaches New Record Heights At The Stock Market,https://www.benzinga.com/news/20/06/16218615/big-tech-reaches-new-record-heights-at-the-stock-market,Neer Varshney,2020-06-10,AMZN,2020-06-10,132.25,136.11749267578125,131.31300354003906,132.37249755859375,132.37249755859375,98920000,0.0,0.0
"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",https://www.benzinga.com/news/20/06/16218441/twitter-square-will-mark-juneteenth-as-holiday-to-honor-african-american-culture,Shivdeep Dhaliwal,2020-06-10,AMZN,2020-06-10,132.25,136.11749267578125,131.31300354003906,132.37249755859375,132.37249755859375,98920000,0.0,0.0
'Inside Amazon's plan to test warehouse workers for Covid-19 every two weeks' -Earlier CNBC Report,https://www.benzinga.com/news/20/06/16215412/inside-amazons-plan-to-test-warehouse-workers-for-covid-19-every-two-weeks-earlier-cnbc-report,Benzinga Newsdesk,2020-06-09,AMZN,2020-06-09,126.47200012207033,131.32150268554688,126.25,130.04299926757812,130.04299926757812,103520000,0.0,0.0
"BofA Raises Amazon Target On Sales Upside, Accelerating Unit Growth",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16212756/bofa-raises-amazon-target-on-sales-upside-accelerating-unit-growth,Priya Nigam,2020-06-09,AMZN,2020-06-09,126.47200012207033,131.32150268554688,126.25,130.04299926757812,130.04299926757812,103520000,0.0,0.0
Amazon shares are trading higher despite market weakness. Not currently seeing company-specific news.,https://www.benzinga.com/wiim/20/06/16213978/amazon-shares-are-trading-higher-despite-market-weakness-not-currently-seeing-company-specific-news,Benzinga Newsdesk,2020-06-09,AMZN,2020-06-09,126.47200012207033,131.32150268554688,126.25,130.04299926757812,130.04299926757812,103520000,0.0,0.0
"IRS Alerts Against Criminals Profiteering From Fake Coronavirus Treatments, Charities, Phishing, Other Financial Fraud",https://www.benzinga.com/government/20/06/16209057/irs-alerts-against-criminals-profiteering-from-fake-coronavirus-treatments-charities-phishing-other,Neer Varshney,2020-06-09,AMZN,2020-06-09,126.47200012207033,131.32150268554688,126.25,130.04299926757812,130.04299926757812,103520000,0.0,0.0
4 Blue Chips That Lived Up To Their Title During the Pandemic,https://www.benzinga.com/markets/20/06/16161759/4-blue-chips-that-lived-up-to-their-title-during-the-pandemic,IAM Newswire,2020-06-02,AMZN,2020-06-02,123.3499984741211,123.67649841308594,122.2655029296875,123.62049865722656,123.62049865722656,50598000,0.0,0.0
"How Cameo, Facebook And Peloton Are Embracing Coronavirus Disruption",https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16161097/how-cameo-facebook-and-peloton-are-embracing-coronavirus-disruption,Wayne Duggan,2020-06-02,AMZN,2020-06-02,123.3499984741211,123.67649841308594,122.2655029296875,123.62049865722656,123.62049865722656,50598000,0.0,0.0
Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case,https://www.benzinga.com/news/20/06/16156648/tesla-ceo-musk-says-other-three-officers-should-be-charged-in-floyds-murder-case,Neer Varshney,2020-06-02,AMZN,2020-06-02,123.3499984741211,123.67649841308594,122.2655029296875,123.62049865722656,123.62049865722656,50598000,0.0,0.0
"Pepper Spray, Books On Racism, 'I Can't Breathe' Merchandise Are Top Sellers On Amazon As Protests Rage",https://www.benzinga.com/news/20/06/16156515/pepper-spray-books-on-racism-i-cant-breathe-merchandise-are-top-sellers-on-amazon-as-protests-rage,Neer Varshney,2020-06-02,AMZN,2020-06-02,123.3499984741211,123.67649841308594,122.2655029296875,123.62049865722656,123.62049865722656,50598000,0.0,0.0
Amazon Looks To Establish Supply Chain Trust With New Blockchain Patent,https://www.benzinga.com/news/20/06/16154615/amazon-looks-to-establish-supply-chain-trust-with-new-blockchain-patent,FreightWaves,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
Making Sense Of Why Consumers Are Switching Their Grocery Store Habits,https://www.benzinga.com/news/20/06/16146064/making-sense-of-why-consumers-are-switching-their-grocery-store-habits,Jayson Derrick,2020-06-01,AMZN,2020-06-01,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,123.552001953125,58578000,0.0,0.0
